Number,Species,Temp,Recorded,Diameter.in,Diameter.cm
4,A. grosmanniae,44,41.46,0.75,1.91
4,A. grosmanniae,48,45.2,0.75,1.91
4,A. grosmanniae,52,49.62,0.75,1.91
4,A. grosmanniae,56,53.32,0.75,1.91
4,A. grosmanniae,60,57.56,0.75,1.91
5,A. grosmanniae,40,37.1,0.81,2.06
5,A. grosmanniae,44,40.92,0.81,2.06
5,A. grosmanniae,48,45.46,0.81,2.06
5,A. grosmanniae,52,49.04,0.81,2.06
5,A. grosmanniae,56,53,0.81,2.06
5,A. grosmanniae,60,57.49,0.81,2.06
6,A. grosmanniae,40,37.52,0.75,1.91
6,A. grosmanniae,44,41.05,0.75,1.91
6,A. grosmanniae,48,45.18,0.75,1.91
6,A. grosmanniae,52,49.75,0.75,1.91
6,A. grosmanniae,56,54.22,0.75,1.91
6,A. grosmanniae,60,56.79,0.75,1.91
7,A. grosmanniae,40,36.95,0.75,1.91
7,A. grosmanniae,44,41.49,0.75,1.91
7,A. grosmanniae,48,43.15,0.75,1.91
7,A. grosmanniae,52,47.33,0.75,1.91
7,A. grosmanniae,56,51.04,0.75,1.91
7,A. grosmanniae,60,56.14,0.75,1.91
8,A. grosmanniae,40,36.07,1.00,2.54
8,A. grosmanniae,44,40.26,1.00,2.54
8,A. grosmanniae,48,44.25,1.00,2.54
8,A. grosmanniae,52,47.99,1.00,2.54
8,A. grosmanniae,56,51.91,1.00,2.54
8,A. grosmanniae,60,56.16,1.00,2.54
9,A. grosmanniae,40,36.92,0.69,1.75
9,A. grosmanniae,44,40.79,0.69,1.75
9,A. grosmanniae,48,44.62,0.69,1.75
9,A. grosmanniae,52,48.97,0.69,1.75
9,A. grosmanniae,56,54.1,0.69,1.75
9,A. grosmanniae,60,56.53,0.69,1.75
10,A. grosmanniae,40,34.46,0.69,1.75
10,A. grosmanniae,44,37.71,0.69,1.75
10,A. grosmanniae,48,42.79,0.69,1.75
10,A. grosmanniae,52,44.91,0.69,1.75
10,A. grosmanniae,56,53.31,0.69,1.75
10,A. grosmanniae,60,57.68,0.69,1.75
11,A. grosmanniae,40,35.63,0.69,1.75
11,A. grosmanniae,44,40.32,0.69,1.75
11,A. grosmanniae,48,43,0.69,1.75
11,A. grosmanniae,52,48.01,0.69,1.75
11,A. grosmanniae,56,53.7,0.69,1.75
11,A. grosmanniae,60,54.44,0.69,1.75
12,A. grosmanniae,40,37.01,0.94,2.39
12,A. grosmanniae,44,39.2,0.94,2.39
12,A. grosmanniae,48,43.38,0.94,2.39
12,A. grosmanniae,52,45.7,0.94,2.39
12,A. grosmanniae,56,52.34,0.94,2.39
12,A. grosmanniae,60,56.73,0.94,2.39
13,A. grosmanniae,40,36.94,1.13,2.87
13,A. grosmanniae,44,38.95,1.13,2.87
13,A. grosmanniae,48,44.58,1.13,2.87
13,A. grosmanniae,52,46.06,1.13,2.87
13,A. grosmanniae,56,50.69,1.13,2.87
13,A. grosmanniae,60,55.91,1.13,2.87
14,A. grosmanniae,40,34.38,1.06,2.69
14,A. grosmanniae,44,38.05,1.06,2.69
14,A. grosmanniae,48,43.47,1.06,2.69
14,A. grosmanniae,52,48.15,1.06,2.69
14,A. grosmanniae,56,53.56,1.06,2.69
14,A. grosmanniae,60,57.29,1.06,2.69
15,A. grosmanniae,40,34.33,0.81,2.06
15,A. grosmanniae,44,40.64,0.81,2.06
15,A. grosmanniae,48,44.57,0.81,2.06
15,A. grosmanniae,52,48.19,0.81,2.06
15,A. grosmanniae,56,49.44,0.81,2.06
15,A. grosmanniae,60,55.13,0.81,2.06
16,A. grosmanniae,40,36.81,1.00,2.54
16,A. grosmanniae,44,38.83,1.00,2.54
16,A. grosmanniae,48,43.22,1.00,2.54
16,A. grosmanniae,52,46.25,1.00,2.54
16,A. grosmanniae,56,50.03,1.00,2.54
16,A. grosmanniae,60,55.03,1.00,2.54
17,A. grosmanniae,40,35.99,1.00,2.54
17,A. grosmanniae,44,37.72,1.00,2.54
17,A. grosmanniae,48,45.22,1.00,2.54
