Species,Plate,Point ,Area,Temp
X. cleistominuta,7,5,Fungi,39.6
X. cleistominuta,7,6,Fungi,40.6
X. cleistominuta,7,7,Fungi,40
X. cleistominuta,7,8,Fungi,40.8
X. cleistominuta,7,9,Fungi,40.2
X. cleistominuta,7,10,Fungi,40.6
X. cleistominuta,7,11,Fungi,40.6
X. cleistominuta,7,12,Fungi,40.3
X. cleistominuta,7,13,Fungi,41
X. cleistominuta,7,14,Fungi,40.9
X. cleistominuta,7,15,Fungi,41
X. cleistominuta,8,1,Agar,41.3
X. cleistominuta,8,2,Agar,41.3
X. cleistominuta,8,3,Agar,41.7
X. cleistominuta,8,4,Agar,41.6
X. cleistominuta,8,5,Agar,41.3
X. cleistominuta,8,6,Agar,41.8
X. cleistominuta,8,7,Agar,41.8
X. cleistominuta,8,8,Agar,41.6
X. cleistominuta,8,9,Agar,41.6
X. cleistominuta,8,10,Agar,41.7
X. cleistominuta,8,11,Agar,41.7
X. cleistominuta,8,12,Agar,41.8
X. cleistominuta,8,13,Agar,41.6
X. cleistominuta,8,14,Agar,41.9
X. cleistominuta,8,15,Agar,41.6
X. cleistominuta,8,1,Fungi,41.4
X. cleistominuta,8,2,Fungi,41.5
X. cleistominuta,8,3,Fungi,41.8
X. cleistominuta,8,4,Fungi,40.6
X. cleistominuta,8,5,Fungi,40.7
X. cleistominuta,8,6,Fungi,41.2
X. cleistominuta,8,7,Fungi,41.5
X. cleistominuta,8,8,Fungi,39.5
X. cleistominuta,8,9,Fungi,39.8
X. cleistominuta,8,10,Fungi,39.3
X. cleistominuta,8,11,Fungi,40.3
X. cleistominuta,8,12,Fungi,39.9
X. cleistominuta,8,13,Fungi,40.5
X. cleistominuta,8,14,Fungi,41.4
X. cleistominuta,8,15,Fungi,40.6
X. cleistominuta,9,1,Agar,41.2
X. cleistominuta,9,2,Agar,40.8
X. cleistominuta,9,3,Agar,41.1
X. cleistominuta,9,4,Agar,41
X. cleistominuta,9,5,Agar,40.6
X. cleistominuta,9,6,Agar,40.6
X. cleistominuta,9,7,Agar,41.3
X. cleistominuta,9,8,Agar,41.3
X. cleistominuta,9,9,Agar,41.1
X. cleistominuta,9,10,Agar,41.6
X. cleistominuta,9,11,Agar,41.7
X. cleistominuta,9,12,Agar,41.2
X. cleistominuta,9,13,Agar,41.3
X. cleistominuta,9,14,Agar,40.9
X. cleistominuta,9,15,Agar,40.9
X. cleistominuta,9,1,Fungi,41.1
X. cleistominuta,9,2,Fungi,39.6
X. cleistominuta,9,3,Fungi,40.3
X. cleistominuta,9,4,Fungi,40.2
X. cleistominuta,9,5,Fungi,40.5
X. cleistominuta,9,6,Fungi,41.1
X. cleistominuta,9,7,Fungi,40.9
X. cleistominuta,9,8,Fungi,39.6
X. cleistominuta,9,9,Fungi,40.6
X. cleistominuta,9,10,Fungi,40.4
X. cleistominuta,9,11,Fungi,39.7
X. cleistominuta,9,12,Fungi,39.6
X. cleistominuta,9,13,Fungi,39.3
X. cleistominuta,9,14,Fungi,40.2
X. cleistominuta,9,15,Fungi,40.4
X. cleistominuta,10,1,Agar,41.2
X. cleistominuta,10,2,Agar,41.6
X. cleistominuta,10,3,Agar,41.6
X. cleistominuta,10,4,Agar,41.6
X. cleistominuta,10,5,Agar,41.1
X. cleistominuta,10,6,Agar,41.3
X. cleistominuta,10,7,Agar,41.6
X. cleistominuta,10,8,Agar,41.6
X. cleistominuta,10,9,Agar,41.7
X. cleistominuta,10,10,Agar,41.3
X. cleistominuta,10,11,Agar,41.5
X. cleistominuta,10,12,Agar,41.3
X. cleistominuta,10,13,Agar,40.9
X. cleistominuta,10,14,Agar,41.1
X. cleistominuta,10,15,Agar,41.2
X. cleistominuta,10,1,Fungi,41.7
X. cleistominuta,10,2,Fungi,40.5
X. cleistominuta,10,3,Fungi,41
X. cleistominuta,10,4,Fungi,40.3
X. cleistominuta,10,5,Fungi,40.1
X. cleistominuta,10,6,Fungi,41.1
X. cleistominuta,10,7,Fungi,41.5
X. cleistominuta,10,8,Fungi,40.6
X. cleistominuta,10,9,Fungi,40.4
X. cleistominuta,10,10,Fungi,40.7
X. cleistominuta,10,11,Fungi,40
X. cleistominuta,10,12,Fungi,39.4
X. cleistominuta,10,13,Fungi,39.2
X. cleistominuta,10,14,Fungi,39.9
X. cleistominuta,10,15,Fungi,40.3
X. cleistominuta,11,1,Agar,40.9
X. cleistominuta,11,2,Agar,41.1
X. cleistominuta,11,3,Agar,41.1
X. cleistominuta,11,4,Agar,40.9
X. cleistominuta,11,5,Agar,41.3
X. cleistominuta,11,6,Agar,41.2
X. cleistominuta,11,7,Agar,41.1
X. cleistominuta,11,8,Agar,41
X. cleistominuta,11,9,Agar,40.7
X. cleistominuta,11,10,Agar,40.9
X. cleistominuta,11,11,Agar,41
X. cleistominuta,11,12,Agar,41.2
X. cleistominuta,11,13,Agar,41.2
X. cleistominuta,11,14,Agar,40.6
X. cleistominuta,11,15,Agar,40.6
X. cleistominuta,11,1,Fungi,39.9
X. cleistominuta,11,2,Fungi,40.5
X. cleistominuta,11,3,Fungi,40.9
X. cleistominuta,11,4,Fungi,39.6
X. cleistominuta,11,5,Fungi,39
X. cleistominuta,11,6,Fungi,39.6
X. cleistominuta,11,7,Fungi,38.9
X. cleistominuta,11,8,Fungi,39.3
X. cleistominuta,11,9,Fungi,40.4
X. cleistominuta,11,10,Fungi,40
X. cleistominuta,11,11,Fungi,40.3
X. cleistominuta,11,12,Fungi,39.7
X. cleistominuta,11,13,Fungi,40.5
X. cleistominuta,11,14,Fungi,40.9
X. cleistominuta,11,15,Fungi,39.1
X. cleistominuta,12,1,Agar,43.2
X. cleistominuta,12,2,Agar,43.3
X. cleistominuta,12,3,Agar,43
X. cleistominuta,12,4,Agar,43
X. cleistominuta,12,5,Agar,43.1
X. cleistominuta,12,6,Agar,43.2
X. cleistominuta,12,7,Agar,43.4
X. cleistominuta,12,8,Agar,43.3
X. cleistominuta,12,9,Agar,43.1
X. cleistominuta,12,10,Agar,42.9
X. cleistominuta,12,11,Agar,43.1
X. cleistominuta,12,12,Agar,42.7
X. cleistominuta,12,13,Agar,42.5
X. cleistominuta,12,14,Agar,42.8
X. cleistominuta,12,15,Agar,42.6
X. cleistominuta,12,1,Fungi,40.9
X. cleistominuta,12,2,Fungi,40.7
X. cleistominuta,12,3,Fungi,40.8
X. cleistominuta,12,4,Fungi,41.4
X. cleistominuta,12,5,Fungi,41.2
X. cleistominuta,12,6,Fungi,42.6
X. cleistominuta,12,7,Fungi,42
X. cleistominuta,12,8,Fungi,41.6
X. cleistominuta,12,9,Fungi,41.1
X. cleistominuta,12,10,Fungi,42
X. cleistominuta,12,11,Fungi,41.5
X. cleistominuta,12,12,Fungi,42.2
X. cleistominuta,12,13,Fungi,41.5
X. cleistominuta,12,14,Fungi,42.3
X. cleistominuta,12,15,Fungi,43
X. cleistominuta,13,1,Agar,41.1
X. cleistominuta,13,2,Agar,41.2
X. cleistominuta,13,3,Agar,41.2
X. cleistominuta,13,4,Agar,40.8
X. cleistominuta,13,5,Agar,40.4
X. cleistominuta,13,6,Agar,40.4
X. cleistominuta,13,7,Agar,40.5
X. cleistominuta,13,8,Agar,40.5
